count_type,count,parish_id,week_id,year_id
Buried,1,0001,1668-1669-21,1669
Plague,,0001,1668-1669-21,1669
Buried,,0002,1668-1669-21,1669
Plague,,0002,1668-1669-21,1669
Buried,,0003,1668-1669-21,1669
Plague,,0003,1668-1669-21,1669
Buried,1,0004,1668-1669-21,1669
Plague,,0004,1668-1669-21,1669
Buried,,0005,1668-1669-21,1669
Plague,,0005,1668-1669-21,1669
Buried,,0006,1668-1669-21,1669
Plague,,0006,1668-1669-21,1669
Buried,,0007,1668-1669-21,1669
Plague,,0007,1668-1669-21,1669
Buried,,0008,1668-1669-21,1669
Plague,,0008,1668-1669-21,1669
Buried,,0009,1668-1669-21,1669
Plague,,0009,1668-1669-21,1669
Buried,1,0010,1668-1669-21,1669
Plague,,0010,1668-1669-21,1669
Buried,,0011,1668-1669-21,1669
Plague,,0011,1668-1669-21,1669
Buried,1,0012,1668-1669-21,1669
Plague,,0012,1668-1669-21,1669
Buried,,0013,1668-1669-21,1669
Plague,,0013,1668-1669-21,1669
Buried,,0014,1668-1669-21,1669
Plague,,0014,1668-1669-21,1669
Buried,,0015,1668-1669-21,1669
Plague,,0015,1668-1669-21,1669
Buried,,0016,1668-1669-21,1669
Plague,,0016,1668-1669-21,1669
Buried,,0017,1668-1669-21,1669
Plague,,0017,1668-1669-21,1669
Buried,,0018,1668-1669-21,1669
Plague,,0018,1668-1669-21,1669
Buried,,0019,1668-1669-21,1669
Plague,,0019,1668-1669-21,1669
Buried,,0020,1668-1669-21,1669
Plague,,0020,1668-1669-21,1669
Buried,,0021,1668-1669-21,1669
Plague,,0021,1668-1669-21,1669
Buried,,0022,1668-1669-21,1669
Plague,,0022,1668-1669-21,1669
Buried,,0023,1668-1669-21,1669
Plague,,0023,1668-1669-21,1669
Buried,2,0024,1668-1669-21,1669
Plague,,0024,1668-1669-21,1669
Buried,,0025,1668-1669-21,1669
Plague,,0025,1668-1669-21,1669
Buried,,0026,1668-1669-21,1669
Plague,,0026,1668-1669-21,1669
Buried,,0027,1668-1669-21,1669
Plague,,0027,1668-1669-21,1669
Buried,,0028,1668-1669-21,1669
Plague,,0028,1668-1669-21,1669
Buried,,0029,1668-1669-21,1669
